reference,doi,pub_type,substrate_polymer,mcp_carrier,antimicrobial,prep_method,manufacturing_temp_c,trigger_mechanism,rh_conditions_pct,storage_temp_c,mcp_loading,release_method,release_duration,kinetic_model,release_result,produce_tested,package_vol_mass,quality_outcomes,mechanical_props,barrier_props,antimicrobial_outcomes,limitations,scaleup_relevance,concept_relevance,work_id,year,venue,authors,source,oa_status,fulltext_source,fulltext_chars,screen_decision,extraction_model,extracted_at,n_full_text_cells,n_abstract_cells,n_not_stated,n_unverifiable,n_blanked,row_confidence
Han Zhang (2016). Optimization of encapsulation methods and conditions to maximize 1-MCP loading in modified beta-cyclodextrins.,10.7282/t39z970v,original_research,,modified β-cyclodextrin (MβCD),,other,,,,,0.535 %,,,,,,,,,,,,,core,doi:10.7282/t39z970v,2016,,Han Zhang,openalex,green,,0,include,qwen3.6:35b-a3b,1785494003.2310555,0,4,0,18,1,medium
"Suliman Khan et al. (2026). Carvacrol-enriched chitosan/berry wax active films via Pickering emulsion: a sustainable solution for extending meat shelf-life. Food Chemistry, 512, 148945.",10.1016/j.foodchem.2026.148945,original_research,chitosan/berry wax,,carvacrol essential oil,other,,,,4 °C,,,,,,rabbit meat,,,,,"Escherichia coli, Staphylococcus aureus, and Pseudomonas aeruginosa",,,,doi:10.1016/j.foodchem.2026.148945,2026,Food Chemistry,Suliman Khan; Ke Zhang; Sulafa B.H. Hashim; Mohammad Rezaul Islam Shishir; Naymul Karim; Muhammad Bilal; Zhihua Li; Xiaodong Zhai; Xiaobo Zou; Fujun Li,epmc,,,0,include,qwen3.6:35b-a3b,1785494147.905,0,6,0,16,3,low
"Lin Zhu et al. (2026). Construction of Pickering Emulsion of Amomum tsaoko Essential Oil Based on Cellulose Nanocrystals to Enhance Pullulan Film: Structure, Antibacterial Property, and Preservation Effect of Mango. Foods, 15, 2282.",10.3390/foods15132282,original_research,pullulan,,Amomum tsaoko essential oil,,,,,,,,,,,Mango,,"weight loss, soluble solids",,,,,not_assessable,adjacent_material,doi:10.3390/foods15132282,2026,Foods,Lin Zhu; Jiameng Liu; Zhikai Zhuang; Shaokai Zhang; Lijing Lin,"crossref,epmc",,,0,include,qwen3.6:35b-a3b,1785494276.9393773,0,6,0,16,1,medium
"Chongfeng He et al. (2025). Construction of magnetic response nanocellulose particles to realize smart antibacterial of Pickering emulsion. International Journal of Biological Macromolecules, 294, 139408.",10.1016/j.ijbiomac.2024.139408,original_research,cellulose nanocrystal,,oregano essential oil,other,,other,,,,,0-8 h h,,"The OEO released rapidly within 0-8 h followed by the slow release when the emulsion was stimulated by 0.2 T, 0.4 T and 0.6 T magnetic field.",,,,,,close to 100 %,,not_assessable,adjacent_mechanism,doi:10.1016/j.ijbiomac.2024.139408,2025,International Journal of Biological Macromolecules,Chongfeng He; Qishu Bai; Jingshao Huang; Zhou Xue; Min Wu; Yanna Lv,epmc,,,0,include,qwen3.6:35b-a3b,1785494393.796308,0,9,0,13,0,medium
"Mahmoud Younis et al. (2025). Improving Barhi date shelf life with cellulose nanocrystals/cinnamon oil Pickering emulsion incorporated into sodium alginate-based films. International Journal of Biological Macromolecules, 309, 143058.",10.1016/j.ijbiomac.2025.143058,original_research,sodium alginate,,cinnamon essential oil,,,,,,,,,,over 60 %,Barhi dates,,firmness,,42.23 % %,over 60 %,,,,doi:10.1016/j.ijbiomac.2025.143058,2025,International Journal of Biological Macromolecules,Mahmoud Younis; Reham M. Kamel; Abdulla Alhamdan; Enas El. Fadly; Assem I. Zein El-Abedein; Mohamed N. Saleh,epmc,,,0,include,qwen3.6:35b-a3b,1785494538.0842352,0,7,0,15,0,medium
Zou X et al. (2025). Incorporation of Schizochytrium limacinum oil-based pickering emulsion in chitosan active composite films for strawberry preservation.,,original_research,chitosan,,Schizochytrium limacinum (SL) oil,solution_casting,,,,,,,,,,strawberry,,"weight loss, firmness",,1.354 × 10⁻¹² g·cm/cm²·s·Pa,"28.84, 14.90, 95.19, 88.19",,,,title:45c3c1ec100b,2025,,Zou X; Zhao S; Xu K; Liu K; Li L; Zhang M; Yan C; Zhang X; Fang C.,epmc,,,0,include,qwen3.6:35b-a3b,1785494659.3359818,0,7,0,15,3,low
"Özge Horzum & Randolph M. Beaudry (2025). “In-box” 1-methylcyclopropene (1-MCP) treatments improve quality retention of ‘Red Delicious’ apple fruit. The Journal of Horticultural Science and Biotechnology, 101, 527-536.",10.1080/14620316.2025.2574319,original_research,corrugated cardboard,,1-methylcyclopropene,,,humidity_moisture,~98.5 %RH,,,,1 day,,The release of 1-MCP from IBP was found to be highly dependent on the relative humidity of the environment but was essentially complete within 1 day at near saturation (~98.5%RH) at 0°C.,'Red Delicious' apple,,"respiration rate, ethylene production, colour, firmness, volatiles, soluble solids, acidity, weight loss, and sensory attributes",,,,"Current efficacy could be improved by adjusting box venting, construction materials, release kinetics, and active ingredient dosage.",,core,doi:10.1080/14620316.2025.2574319,2025,The Journal of Horticultural Science and Biotechnology,Özge Horzum; Randolph M. Beaudry,openalex,closed,,0,include,qwen3.6:35b-a3b,1785494807.95116,0,10,0,12,2,medium
"Chang Shu et al. (2023). Effect of Humidity-Triggered Controlled-Release 1-Methylcyclopropene (1-MCP) on Postharvest Quality of Papaya Fruit. Horticulturae, 9, 1062.",10.3390/horticulturae9101062,original_research,,,,,,humidity_moisture,85 %,,,,,,"inhibited fruit softening, and reduced weight loss and peel color deterioration",Papaya (Carica papaya L.),,"fruit softening, weight loss, peel color deterioration",,,,,,core,doi:10.3390/horticulturae9101062,2023,Horticulturae,Chang Shu; Marisa M. Wall; Peter A. Follett; Nobuko Sugimoto; Jinhe Bai; Xiuxiu Sun,"crossref,openalex",gold,,0,include,qwen3.6:35b-a3b,1785494956.3793337,0,6,0,16,2,medium
"Custódia Gago et al. (2022). 1-Methylcyclopropene and lemongrass essential oil nanocoatings effect on the preservation of cold stored ‘Rocha’ pear. Postharvest Biology and Technology, 192, 111992.",10.1016/j.postharvbio.2022.111992,original_research,sodium alginate,,lemongrass essential oil,,,,90–95 %,0 °C,312 nL L−1,,,,,‘Rocha’ pear,,"color CIE (L*, hue), firmness, soluble solids content (SSC), titratable acidity (TA), weight loss",,,,,,core,doi:10.1016/j.postharvbio.2022.111992,2022,Postharvest Biology and Technology,Custódia Gago; Adriana Guerreiro; Sandra Cruz; Nuno Martins; Maria João Cabrita; Maria Graça Miguel; Maria Leonor Faleiro; Maria Dulce Antunes,openalex,hybrid,,0,include,qwen3.6:35b-a3b,1785495127.775796,0,8,0,14,1,medium
"Esmat F. Ali et al. (2022). The Efficacies of 1-Methylcyclopropene and Chitosan Nanoparticles in Preserving the Postharvest Quality of Damask Rose and Their Underlying Biochemical and Physiological Mechanisms. Biology, 11, 242.",10.3390/biology11020242,original_research,,,,,,,,4 or 20 °C,,,,,,damask rose,,"weight loss, relative water content, volatile oil, total anthocyanins, total carotenoids, total phenolics, antioxidant activity, ethylene evolution, H2O2 generation, malondialdehyde content, cell membrane functions, catalase activity, ascorbate peroxidase activity, polyphenol oxidase activity, lipoxygenase activity",,,,,,adjacent_material,doi:10.3390/biology11020242,2022,Biology,Esmat F. Ali; Ahmed A. Issa; Hatim M. Al-Yasi; Kamel Hessini; Fahmy A. S. Hassan,openalex,gold,,0,include,qwen3.6:35b-a3b,1785495281.261076,0,4,0,18,1,medium
"Sofia M. Costa et al. (2021). Active natural-based films for food packaging applications: The combined effect of chitosan and nanocellulose. International Journal of Biological Macromolecules, 177, 241-251.",10.1016/j.ijbiomac.2021.02.105,original_research,chitosan,,,solution_casting,,,,,,,,,,chicken meat,,,,,,,,,doi:10.1016/j.ijbiomac.2021.02.105,2021,International Journal of Biological Macromolecules,Sofia M. Costa; Diana P. Ferreira; Pilar Teixeira; Lina F. Ballesteros; José A. Teixeira; Raul Fangueiro,openalex,gold,,0,include,qwen3.6:35b-a3b,1785495416.7058325,0,3,0,19,0,medium
"Weina Wu et al. (2021). Novel packaging film for humidity-controlled manipulating of ethylene for shelf-life extension of Agaricus bisporus. LWT, 145, 111331.",10.1016/j.lwt.2021.111331,original_research,polysaccharide,palladium on carbon,,lamination,,humidity_moisture,50 to 100 % RH,,,other,,,controlled by adjusting the humidity,Agaricus bisporus,,"softening, browning, weight loss, soluble solid content",,,,,,core,doi:10.1016/j.lwt.2021.111331,2021,LWT,Weina Wu; Xiaoyu Ni; Ping Shao; Haiyan Gao,"epmc,openalex",closed,,0,include,qwen3.6:35b-a3b,1785495526.606649,0,10,0,12,2,medium
"Liping Kou et al. (2012). Extending the Shelf Life of Edible Flowers with Controlled Release of 1‐Methylcyclopropene and Modified Atmosphere Packaging. Journal of Food Science, 77.",10.1111/j.1750-3841.2012.02683.x,original_research,,,,,,,,5 °C,,,,,significantly extended storage life,carnations and snapdragons,,"flower quality, overall quality, electrolyte leakage, abscission, dehydration",,,,,,,doi:10.1111/j.1750-3841.2012.02683.x,2012,Journal of Food Science,Liping Kou; Ellen R. Turner; Yaguang Luo,openalex,closed,,0,include,qwen3.6:35b-a3b,1785495666.0346403,0,4,0,18,4,low
"Sobia Naseem et al. (2026). Chlorogenic acid crosslinked cellulose nanocomposite film embedded with chitosan for improved mechanical and barrier properties. International Journal of Biological Macromolecules, 355, 151570.",10.1016/j.ijbiomac.2026.151570,original_research,chitosan,,Chlorogenic acid,,,,,,,,,,,strawberries,,,,water-vapour permeability g/m<sup>3</sup> s Pa,,increased CNC content reduces tensile strength,low,adjacent_material,doi:10.1016/j.ijbiomac.2026.151570,2026,International Journal of Biological Macromolecules,Sobia Naseem; Muhammad Rizwan; Awais Ahmad,epmc,,,0,include,qwen3.6:35b-a3b,1785495820.2851367,0,7,0,15,1,medium
Ahn S et al. (2026). Controlled release system inducing change in stability of volatile essential oil emulsion incorporated in a hydrogel using a responsive polymer for practical active food packaging.,,original_research,polyvinyl alcohol (PVA),,lemongrass essential oil (LO),solution_casting,,humidity_moisture,"30, 50, 70, and 90 %",,,,72 h,,decreasing to 9.98 ± 1.42 % at 90 % RH,,,,,,,,,core,title:c1d0d98454af,2026,,Ahn S; Park U; Kim H; Ban C; Lim S.,epmc,,,0,include,qwen3.6:35b-a3b,1785495965.5414884,0,8,0,14,1,medium
"Ke Liu et al. (2026). L-cysteine modified carboxymethyl chitosan composite film: sustained release of cinnamon essential oil, enhanced antibacterial properties, and application in shrimp preservation. International Journal of Biological Macromolecules, 338, 149604.",10.1016/j.ijbiomac.2025.149604,original_research,oxidized hyaluronic acid and thiol-modified carboxymethyl chitosan,,cinnamon essential oil (CEO),,,other,,,,,42 h h,,sustained release over 42 h,shrimp,,"weight loss 10.54 %, TVB-N content 27.55 mg/100 g, MDA content 0.51 mg/100 g, TVC 4.88 log CFU/g, ORP -49.51 mV","elongation at break 59.83 %, puncture strength 5.89 kg/mm2 %, kg/mm2","water vapor permeability 7.14 × 10-12 g/m·s·Pa, oxygen permeability 16 × 10-9 g/m2 s g/m·s·Pa, g/m2 s",,,,adjacent_mechanism,doi:10.1016/j.ijbiomac.2025.149604,2026,International Journal of Biological Macromolecules,Ke Liu; Jinghe Sun; Xinting Zhang; Chaohui Wang; Jingfeng Yang,epmc,,,0,include,qwen3.6:35b-a3b,1785496089.064662,0,10,0,12,1,medium
"Yayue Wang et al. (2026). Moisture-triggered one-step encapsulation of cinnamaldehyde in β-cyclodextrin for humidity responsive release and food preservation. Food Chemistry, 516, 149345.",10.1016/j.foodchem.2026.149345,original_research,β-cyclodextrin,,cinnamaldehyde,spray_drying,,humidity_moisture,,,,,,,CIN release was humidity-responsive with sustained kinetics.,blueberries and cherry tomatoes,,,,,"Staphylococcus aureus, Escherichia coli, Botrytis cinerea, and Penicillium expansum",,high,core,doi:10.1016/j.foodchem.2026.149345,2026,Food Chemistry,Yayue Wang; Xiaofei Wang; Pengtao Zhao; Xinzhong Hu; Tian Ren,"crossref,epmc",,,0,include,qwen3.6:35b-a3b,1785496244.4591475,0,9,0,13,0,medium
"Tingting Zhang et al. (2026). TEMPO-oxidized cellulose nanofiber/chitosan composite films stabilized by cumin essential oil-loaded Pickering emulsions for multifunctional food preservation. International Journal of Biological Macromolecules, 362, 152106.",10.1016/j.ijbiomac.2026.152106,original_research,,,cumin essential oil,,,,,,,,,,,tomatoes and blueberries,,"weight loss, firmness decline, pH changes",mechanical strength up to 45.2 MPa MPa,"water vapor transmission ~60%, oxygen permeability lower %",inhibition zone diameters 19.5 mm for Staphylococcus aureus and 24.00 mm for Escherichia coli,,,,doi:10.1016/j.ijbiomac.2026.152106,2026,International Journal of Biological Macromolecules,Tingting Zhang; Lanfeng Hui; Zhiqiang Zhao; Rongyao Zhu; Jieting Xin; Mingyue Zhao,epmc,,,0,include,qwen3.6:35b-a3b,1785496373.6315124,0,6,0,16,1,medium
"Xiaotong Zou et al. (2025). Development and characterization of corn starch-based films enhanced with Chlorella vulgaris nanocellulose-stabilized Pickering emulsion of Zanthoxylum bungeanum essential oil for cherry tomato preservation. International Journal of Biological Macromolecules, 304, 140837.",10.1016/j.ijbiomac.2025.140837,original_research,corn starch,,Zanthoxylum bungeanum essential oil (ZBEO),,,,,,,,,,,cherry tomatoes,,"weight loss, acidity, total soluble solids",,,,,,,doi:10.1016/j.ijbiomac.2025.140837,2025,International Journal of Biological Macromolecules,Xiaotong Zou; Shaohua Zhao; Kaiwei Xu; Ke Liu; Chang Yan; Xiaojuan Zhang; Jing Chen; Youliang Cheng; Changqing Fang,epmc,,,0,include,qwen3.6:35b-a3b,1785496505.331745,0,4,0,18,2,medium
Li M et al. (2025). Performance of konjac glucomannan/tragacanth gum-stabilized eugenol particles in konjac glucomannan/chitosan films and their application in blueberry preservation.,,original_research,konjac glucomannan/chitosan,,eugenol,,,,,,,,,,,blueberries,,"decay rate, weight loss, firmness, and soluble solids",,,,,,,title:2bc4315097f8,2025,,Li M; Wei H; Wang X; Wang Y; Lei X; Dai O; Wen C; Pang J.,epmc,,,0,include,qwen3.6:35b-a3b,1785496624.2815533,0,4,0,18,3,low
"Xiaoxue Wang et al. (2025). Preparation, Characterization and Application of Antimicrobial Pectin-Konjac Glucomannan Composite Films Incorporating Cellulose Nanocrystals Stabilized Clove Essential Oil Pickering Emulsion.",10.2139/ssrn.5102163,original_research,pectin and konjac glucomannan,,clove essential oil,,,,,,,,,,CCPE could further slow down the release rate of CEO from composite films,grape,,,tensile strength: 23.58 MPa MPa,water-vapour permeability: 1.05 × 10⁻¹⁰ g/m·s·Pa g/m·s·Pa,"inhibition zone diameters: 38.77 mm (S. aureus), 29.03 mm (E. coli)",,low,core,doi:10.2139/ssrn.5102163,2025,,Xiaoxue Wang; Shasha Li; Mingwan Zeng; Haisheng Gong; Zhiqing Zhang; Xiangyang Yuan; Man Zhou; Anjun Chen; Hejun Wu,"crossref,epmc",,,0,include,qwen3.6:35b-a3b,1785496740.6437194,0,9,0,13,0,medium
"Xiaoxue Wang et al. (2025). Preparation, characterization and application of antimicrobial pectin-konjac glucomannan composite films incorporating cellulose nanocrystals stabilized clove essential oil pickering emulsion. LWT, 225, 117855.",10.1016/j.lwt.2025.117855,original_research,pectin and konjac glucomannan,,clove essential oil,,,,,,,,,,,grape,,,23.58 MPa MPa,1.05 × 10 −10 g/m·s·Pa g/m·s·Pa,38.77 mm and 29.03 mm,,,core,doi:10.1016/j.lwt.2025.117855,2025,LWT,Xiaoxue Wang; Shasha Li; Mingwan Zeng; Haisheng Gong; Zhiqing Zhang; Xiangyang Yuan; Man Zhou; Anjun Chen; Yuntao Liu; Hejun Wu,openalex,gold,,0,include,qwen3.6:35b-a3b,1785496877.3262024,0,7,0,15,1,medium
"Anna Yu. Pnevskaya & Aram L. Bugaev (2023). Theoretical screening of M3(btc)2 metal–organic frameworks for ethylene and 1-methylcyclopropene storage. Results in Chemistry, 5, 100831.",10.1016/j.rechem.2023.100831,original_research,,MOFs,,,,,,,,,,,,,,,,,,"The study relies solely on theoretical/computational screening without experimental validation, limiting its direct utility as practical evidence.",low,adjacent_material,doi:10.1016/j.rechem.2023.100831,2023,Results in Chemistry,Anna Yu. Pnevskaya; Aram L. Bugaev,openalex,gold,,0,include,qwen3.6:35b-a3b,1785497018.14759,0,4,0,18,0,medium
"Putri Amanda et al. (2022). Carrageenan functional film integrated with Pickering Emulsion of Oregano Oil Stabilized by Cationic Nanocellulose for Active Packaging. Food Science and Technology International, 30, 61-72.",10.1177/10820132221132912,original_research,carrageenan,,Oregano essential oil,other,,,,,,,,,,,,,,,,,,adjacent_material,doi:10.1177/10820132221132912,2022,Food Science and Technology International,Putri Amanda; Ismadi Ismadi; Riska Surya Ningrum; Syarifah Nabila; Kurnia Wiji Prasetyo,crossref,,,0,include,qwen3.6:35b-a3b,1785497122.5916393,0,4,0,18,1,medium
"Alana Gabrieli de Souza et al. (2021). Cinnamon Essential Oil Nanocellulose-Based Pickering Emulsions: Processing Parameters Effect on Their Formation, Stabilization, and Antimicrobial Activity. Polysaccharides, 2, 608-625.",10.3390/polysaccharides2030037,original_research,nanocellulose,,cinnamon essential oil,other,,,,,,,,,,,,,,,inhibition halos,,low,adjacent_material,doi:10.3390/polysaccharides2030037,2021,Polysaccharides,Alana Gabrieli de Souza; Rafaela Reis Ferreira; Elisa Silva Freire Aguilar; Leonardo Zanata; Derval dos Santos Rosa,openalex,gold,,0,include,qwen3.6:35b-a3b,1785497245.68978,0,6,0,16,0,medium
"Gregor Lavrič et al. (2021). Functional Nanocellulose, Alginate and Chitosan Nanocomposites Designed as Active Film Packaging Materials. Polymers, 13, 2523.",10.3390/polym13152523,original_research,"chitosan, alginate",,,,,,,,,,,,,,,,,"WVTR reduced by 15-45%, OTR up to 45% %",,,,,doi:10.3390/polym13152523,2021,Polymers,Gregor Lavrič; Ana Oberlintner; Inese Filipova; Uroš Novak; Blaž Likozar; Urška Vrabič-Brodnjak,openalex,gold,,0,include,qwen3.6:35b-a3b,1785497380.461793,0,2,0,20,3,low
"Tao Yang et al. (2026). Hydrocolloid-based stimuli-responsive nanofiber films: Precision-controlled release of essential oils for sustainable food packaging. Current Research in Food Science, 12, 101260.",10.1016/j.crfs.2025.101260,review,,,,,,,,,,,,,,,,,,,,The document is a review summarizing existing literature rather than presenting original experimental data; it explicitly notes unresolved challenges in scalability and regulatory compliance.,low,core,doi:10.1016/j.crfs.2025.101260,2026,Current Research in Food Science,Tao Yang; Luís Marangoni Júnior; Roniérik Pioli Vieira; P. Ananthi; Shanshan Li; Aswathi Raj K V; Swarup Roy; Guanghua Xia,epmc,gold,epmc_jats:PMC12743375,76847,include,qwen3.6:35b-a3b,1785497518.0050464,3,0,19,0,0,medium
"Zhijun Hu et al. (2017). 1-Methylcyclopropene (MCP)-Containing Cellulose Paper Packaging for Fresh Fruit and Vegetable Preservation: A Review. BioResources, 12.",10.15376/biores.12.1.2234-2248,review,cellulosic paper,,,,,humidity_moisture,,,,,,,,,,,,,,"The document is a review that proposes a conceptual packaging system without original experimental validation, explicitly stating that future research is required to develop optimized application technologies.",high,core,doi:10.15376/biores.12.1.2234-2248,2017,BioResources,Zhijun Hu; Chunxia Tang; Zhibin He; Jiang Lin; Yonghao Ni,"crossref,openalex",gold,oa_html:https://doi.org/10.15376/biores.12.1.2234-2248,46380,include,qwen3.6:35b-a3b,1785497663.1517124,5,0,17,0,0,medium
"Anand Kumar et al. (2026). Chitosan-Based Active Packaging for Shrimp Preservation: Development, Functionalization, and Industrial Prospects. Foods, 15, 1043.",10.3390/foods15061043,review,chitosan,,thymol,solution_casting,,,,,,,,,,,,,,,,"The study is constrained by a non-meta-analytic approach, reliance on English language publications, and the rapid pace of discovery in the field.",low,low,doi:10.3390/foods15061043,2026,Foods,Anand Kumar; Gebremichael Gebremedhin Hailu; Abhirup Mitra; Sadaqat Ali; Sapna Baghel; Zefu Wang; Yang Liu; Wen Xia; Yantao Yin; Shucheng Liu; Shuai Wei,epmc,gold,epmc_jats:PMC13025528,68520,include,qwen3.6:35b-a3b,1785497790.16731,6,0,16,0,0,medium
"Bruna Moura Bastos et al. (2026). Lipid-Enriched Biopolymer Films for Active Packaging: A Review of Structure, Properties, and Preservation Performance. Polymers, 18, 870.",10.3390/polym18070870,review,,,,,,,,,,,,,,,,,,,,lab-only conditions / limited to laboratory scale,low,core,doi:10.3390/polym18070870,2026,Polymers,Bruna Moura Bastos; Janaína Oliveira Gonçalves; Mariano Michelon; Luiz Antonio de Almeida Pinto,epmc,gold,epmc_jats:PMC13074946,69200,include,qwen3.6:35b-a3b,1785497937.3491607,3,0,19,0,0,medium
"Reshma Krishnan et al. (2025). Emerging Trends and Application of Edible Coating as a Sustainable Solution for Postharvest Management in Stone Fruits: A Comprehensive Review. Comprehensive Reviews in Food Science and Food Safety, 24, e70179.",10.1111/1541-4337.70179,review,,,,,,,,,,,,,,,,,,,,,low,core,doi:10.1111/1541-4337.70179,2025,Comprehensive Reviews in Food Science and Food Safety,Reshma Krishnan; Manjusri Misra; Jayasankar Subramanian; Amar Mohanty,epmc,gold,epmc_jats:PMC12079166,126955,include,qwen3.6:35b-a3b,1785498070.5420635,2,0,20,0,0,medium
"Siphumle Owen Jama et al. (2026). Edible Coatings for Fresh Fruits: Functional Roles, Optimization Strategies, and Analytical Perspectives. Plants, 15, 132.",10.3390/plants15010132,review,,,,,,,,,,,,,,,,,,,,"Variability in barrier and mechanical properties, challenges in industrial-scale application, insufficient long-term validation under commercial cold-chain conditions, and regulatory uncertainty for active formulations.",low,background,doi:10.3390/plants15010132,2026,Plants,Siphumle Owen Jama; Robert Lufu; Umezuruike Linus Opara; Elke Crouch; Alemayehu Ambaw Tsige,epmc,gold,epmc_jats:PMC12788044,104993,include,qwen3.6:35b-a3b,1785498239.7944095,3,0,19,0,0,medium
"W. M. C. B. Wasala et al. (2021). Application of 1-Methylcyclopropene (1-MCP) for Delaying the Ripening of Banana: A Review. Asian Research Journal of Agriculture, 44-56.",10.9734/arja/2021/v14i130118,review,,,,,,,,,,,,,,banana,,,,,,,,core,doi:10.9734/arja/2021/v14i130118,2021,Asian Research Journal of Agriculture,W. M. C. B. Wasala; C. K. Benaragama; G. D. K. Kumara; K. H. Sarananda; C. A. K. Dissanayake,openalex,diamond,,0,include,qwen3.6:35b-a3b,1785498405.5037935,0,2,0,20,1,medium
"Amr Zaitoon et al. (2021). Triggered and controlled release of active gaseous/volatile compounds for active packaging applications of agri‐food products: A review. Comprehensive Reviews in Food Science and Food Safety, 21, 541-579.",10.1111/1541-4337.12874,review,,,,,,,,,,,,,,,,,,,,,,,doi:10.1111/1541-4337.12874,2021,Comprehensive Reviews in Food Science and Food Safety,Amr Zaitoon; Xiaoyu Luo; Loong‐Tak Lim,openalex,closed,,0,include,qwen3.6:35b-a3b,1785498511.9428658,0,0,0,22,2,low
"Ana Beltrán Sanahuja & Arantzazu Valdés García (2021). New Trends in the Use of Volatile Compounds in Food Packaging. Polymers, 13, 1053.",10.3390/polym13071053,review,,,,,,,,,,,,,,,,,,,,,,background,doi:10.3390/polym13071053,2021,Polymers,Ana Beltrán Sanahuja; Arantzazu Valdés García,openalex,gold,,0,include,qwen3.6:35b-a3b,1785498622.6298983,0,1,0,21,1,medium
"Donghyun Jang et al. (2026). Biopolymer coatings for barrier and functional enhancement of sustainable food packaging: Recent advances and emerging trends. International Journal of Biological Macromolecules, 366, 152492.",10.1016/j.ijbiomac.2026.152492,review,,,,,,,,,,,,,,,,,,,,"performance variability under humid conditions, limited adhesion between biopolymers and cellulose fibers, cost-intensive processing, and uncertainties regarding biodegradation and environmental fate",low,adjacent_material,doi:10.1016/j.ijbiomac.2026.152492,2026,International Journal of Biological Macromolecules,Donghyun Jang; Ajit Kumar Singh; Anuja P. Rananavare; Youn Suk Lee,epmc,,,0,include,qwen3.6:35b-a3b,1785498724.8824408,0,3,0,19,0,medium
"Dimitrie Stoica et al. (2026). Protein–Polysaccharide Gel Systems for Antioxidant and Antimicrobial Delivery in Sustainable Food Packaging: A Review. Gels, 12, 297.",10.3390/gels12040297,review,,,,,,,,,,,,,,,,,,,,"stability, scalability, and regulatory compliance",,,doi:10.3390/gels12040297,2026,Gels,Dimitrie Stoica; Cezar-Ionuț Bichescu; Mariana-Carmelia Bălănică-Dragomir; Maricica Stoica; Mariana Stuparu-Crețu,epmc,gold,,0,include,qwen3.6:35b-a3b,1785498824.7231765,0,1,0,21,2,medium
"Amanullah Sabir et al. (2026). Polysaccharides: Nature’s Guardians of Freshness in Food Preservation. Molecules, 31, 1545.",10.3390/molecules31091545,review,,,,,,,,,,,,,,,,,,,,"Challenges related to stability, sensory impact, and regulatory compliance are also discussed.",,,doi:10.3390/molecules31091545,2026,Molecules,Amanullah Sabir; Sadaqat Ali; Muhammad Zubair Khalid; Ashoka Shankarappa; V. J. Sangeetha; Samreen Ahsan; Anand Kumar; Kamran; Kit-Leong Cheong; Saiyi Zhong,epmc,gold,,0,include,qwen3.6:35b-a3b,1785498936.2783635,0,1,0,21,2,medium
"Weina Jiang et al. (2025). Multifunctional Metal–Organic Frameworks for Enhancing Food Safety and Quality: A Comprehensive Review. Foods, 14, 4111.",10.3390/foods14234111,review,,,,,,,,,,,,,,,,,,,,,,,doi:10.3390/foods14234111,2025,Foods,Weina Jiang; Xue Zhou; Xuezhi Yuan; Liang Zhang; Xue Xiao; Jiangyu Zhu; Weiwei Cheng,epmc,gold,,0,include,qwen3.6:35b-a3b,1785499029.4985797,0,0,0,22,0,low
"Aleksandra Bibow & Wiesław Oleszek (2024). Essential Oils as Potential Natural Antioxidants, Antimicrobial, and Antifungal Agents in Active Food Packaging. Antibiotics, 13, 1168.",10.3390/antibiotics13121168,review,,,,,,,,,,,,,,,,,,,,The study identifies constraints and deficiencies in current investigations of essential oils for food packaging efficacy.,,adjacent_material,doi:10.3390/antibiotics13121168,2024,Antibiotics,Aleksandra Bibow; Wiesław Oleszek,epmc,gold,,0,include,qwen3.6:35b-a3b,1785499134.214033,0,2,0,20,1,medium
"Sharath Kumar Nagaraja et al. (2026). A Comprehensive Review of Biochemical Insights and Advanced Packaging Technologies for Shelf-Life Enhancement of Temperate Fruits. Biosensors, 16, 94.",10.3390/bios16020094,review,,,,,,,,,,,,,,,,,,,,,low,core,doi:10.3390/bios16020094,2026,Biosensors,Sharath Kumar Nagaraja; Puneet Kumar; Kavitha R; Sajad Un Nabi; Javid Iqbal Mir; Mahendra Kumar Verma; Ozgun Kalkisim; Mustafa Akbulut; Yong Beom Kwon; Ho-Min Kang; Sheikh Mansoor,epmc,gold,epmc_jats:PMC12938432,90274,maybe,qwen3.6:35b-a3b,1785499238.9201558,2,0,20,0,0,medium
"Mariana A. Andrade et al. (2025). Emerging Trends in Active Packaging for Food: A Six-Year Review. Foods, 14, 2713.",10.3390/foods14152713,review,,,,,,,,,,,,,,,,,,,,reliance on in vitro conditions and lack of standardized methodologies,low,adjacent_material,doi:10.3390/foods14152713,2025,Foods,Mariana A. Andrade; Cássia H. Barbosa; Regiane Ribeiro-Santos; Sidney Tomé; Ana Luísa Fernando; Ana Sanches Silva; Fernanda Vilarinho,epmc,gold,epmc_jats:PMC12346170,100716,maybe,qwen3.6:35b-a3b,1785499372.3460877,3,0,19,0,0,medium
"Antia G. Pereira et al. (2026). Natural Antimicrobials from Plants Used as Food Preservatives. Foods, 15, 1309.",10.3390/foods15081309,review,,,,,,,,,,,,,,,,,,,,,low,background,doi:10.3390/foods15081309,2026,Foods,Antia G. Pereira; Ana Perez-Vazquez; Paula Barciela; Ana O. S. Jorge; Ezgi Nur Yuksek; Miguel A. Prieto,epmc,gold,epmc_jats:PMC13114991,92538,maybe,qwen3.6:35b-a3b,1785499514.5369928,2,0,20,0,0,medium
